id,순위,마번,마명,산지,성별,연령,중량,기수명,조교사명,마주명,마체중,단승,연승,장구현황,구간별순위,S-1F,1코너,2코너,3코너,G-3F,4코너,G-1F,경주기록,날짜,날씨,주로상태,등급,거리
12,2,14,엠제이파워,미,거,5세,52.5,임기원,김동균,박정재,513,12.8,1.3,,9-   -   - 4- 4- 4- 3,00:13.6,  ,  ,00:24.2,00:36.0,00:42.0,  ,01:12.5,2021년05월16일(일),비,불량,1등급,1200M
13,3,5,어나더스마트원,미,거,7세,53,함완식,이관호,박남성,498,126.2,1.8,망사,6-   -   - 9- 8- 7- 7,00:13.6,  ,  ,00:25.0,00:36.7,00:42.7,  ,01:13.4,2021년05월16일(일),비,불량,1등급,1200M
14,4,10,화기,미,암,5세,51,우에다,이관호,황은호,475,87.6,9.4,"반가지큰, 망사눈",8-   -   - 7- 7- 8- 6,00:13.6,  ,  ,00:24.5,00:36.6,00:42.7,  ,01:13.5,2021년05월16일(일),비,불량,1등급,1200M
15,5,1,플레이시스투고,미,거,7세,53,김정준,배대선,이미양,459,169.4,31.5,,11-   -   - 11- 11- 11- 9,00:14.1,  ,  ,00:25.5,00:37.3,00:43.3,  ,01:13.6,2021년05월16일(일),비,불량,1등급,1200M
16,6,8,울트라펀치,미,거,5세,51,정정희,안병기,조명식,497,32.4,7.2,"계란형큰, 망사눈",5-   -   - 5- 6- 6- 5,00:13.4,  ,  ,00:24.3,00:36.3,00:42.4,  ,01:13.7,2021년05월16일(일),비,불량,1등급,1200M
17,7,3,야호스마트캣,한,거,6세,51,다비드,박재우,이태식,480,23.9,6.7,"망사, 반가지큰",4-   -   - 3- 3- 3- 4,00:13.4,  ,  ,00:24.2,00:36.0,00:42.0,  ,01:14.2,2021년05월16일(일),비,불량,1등급,1200M
18,8,12,브라이트캣,미,수,7세,52,문정균,곽영효,이중연,480,390.8,9.7,망사눈,12-   -   - 12- 12- 12- 12,00:14.3,  ,  ,00:25.8,00:38.1,00:44.4,  ,01:14.4,2021년05월16일(일),비,불량,1등급,1200M
19,9,9,문학쓰나미,미,수,5세,51,임다빈,정호익,권경자,496,60.5,10.5,눈가면,7-   -   - 8- 9- 9- 11,00:13.6,  ,  ,00:24.9,00:36.8,00:43.0,  ,01:14.6,2021년05월16일(일),비,불량,1등급,1200M
20,10,4,해후,한,수,6세,52,김동수,조현수,김선식,453,35.8,24.6,,10-   -   - 10- 10- 10- 10,00:13.7,  ,  ,00:25.3,00:37.1,00:43.2,  ,01:14.7,2021년05월16일(일),비,불량,1등급,1200M
21,11,2,컴플리트스윕,한,수,6세,52,빅투아르,조현수,장석영,522,4.1,2.6,계란형큰,3-   -   - 6- 5- 5- 8,00:13.4,  ,  ,00:24.4,00:36.3,00:42.4,  ,01:14.8,2021년05월16일(일),비,불량,1등급,1200M
22,1,11,흑전사,한,수,5세,52,함완식,김동균,김창희,495,8.6,2.2,망사눈,5- 3- 3- 2- 2- 1- 1,00:13.8,00:19.3,00:31.5,01:08.8,01:16.1,01:23.3,01:41.1,01:54.0,2021년04월11일(일),맑음,양호,1등급,1800M
23,2,2,톱브레인,미,거,6세,52,이혁,최용건,김철,514,23,5,"계란형큰, 망사눈",6- 6- 6- 6- 6- 6- 3,00:13.9,00:19.7,00:32.0,01:09.3,01:16.8,01:24.0,01:42.4,01:55.2,2021년04월11일(일),맑음,양호,1등급,1800M
24,3,7,위너골드,미,수,6세,53,임다빈,우창구,전영범,481,21,4.8,"망사, Triabit",13- 13- 12- 12- 11- 11- 5,00:14.8,00:20.6,00:32.9,01:09.9,01:17.4,01:24.4,01:42.5,01:55.5,2021년04월11일(일),맑음,양호,1등급,1800M
25,4,3,강토마,한,거,6세,55.5,장추열,정호익,김광명,493,2.5,1,망사눈,9- 9- 9- 10- 10- 10- 8,00:14.2,00:20.1,00:32.4,01:09.7,01:17.2,01:24.3,01:42.6,01:55.7,2021년04월11일(일),맑음,양호,1등급,1800M
26,5,5,릴패트론,미,거,5세,52,이철경,서인석,고재완,484,22.2,6.5,계란형큰,11- 11- 10- 9- 8- 8- 9,00:14.4,00:20.3,00:32.7,01:09.6,01:17.0,01:24.2,01:42.6,01:55.8,2021년04월11일(일),맑음,양호,1등급,1800M
27,6,10,클리어검,한,암,5세,52,조상범,최용건,조창석,486,21.2,3.7,계란형큰,7- 7- 7- 7- 7- 7- 6,00:14.0,00:19.9,00:32.1,01:09.3,01:16.8,01:24.0,01:42.5,01:55.9,2021년04월11일(일),맑음,양호,1등급,1800M
28,7,8,슈퍼삭스,미,거,6세,52,이현종,리카디,김창식,509,8.5,9,망사,12- 12- 13- 13- 12- 12- 11,00:14.4,00:20.3,00:33.0,01:09.9,01:17.4,01:24.5,01:42.8,01:56.0,2021년04월11일(일),맑음,양호,1등급,1800M
29,8,4,가온챔프,한,수,6세,59,임기원,안병기,김기종,498,21.5,20.4,망사눈,1- 2- 2- 4- 3- 3- 4,00:13.5,00:19.2,00:31.5,01:09.0,01:16.5,01:23.5,01:42.4,01:56.2,2021년04월11일(일),맑음,양호,1등급,1800M
30,9,6,선라이팅,미,수,6세,51,다비드,서범석,이신근,536,35.2,7.7,망사눈,4- 4- 4- 5- 4- 4- 2,00:13.8,00:19.4,00:31.7,01:09.1,01:16.5,01:23.5,01:42.3,01:56.4,2021년04월11일(일),맑음,양호,1등급,1800M
31,10,14,심장의고동,한,수,5세,52,문세영,지용철,오종환,510,7.8,2.8,계란형큰,8- 8- 8- 8- 9- 9- 12,00:14.1,00:19.9,00:32.1,01:09.4,01:17.0,01:24.2,01:42.9,01:56.5,2021년04월11일(일),맑음,양호,1등급,1800M
32,11,12,왕벚꽃,미,거,5세,51,김용근,박대흥,김원숙,513,6.1,2.4,"망사,계란형큰-",3- 5- 5- 3- 5- 5- 10,00:13.7,00:19.4,00:31.7,01:08.9,01:16.5,01:23.6,01:42.8,01:56.8,2021년04월11일(일),맑음,양호,1등급,1800M
33,12,1,다크플레이어,미,수,5세,52,박을운,이관호,박남성,447,80.1,43.8,망사,14- 14- 14- 14- 14- 14- 13,00:16.0,00:22.0,00:34.5,01:10.6,01:18.0,01:25.3,01:43.8,01:57.5,2021년04월11일(일),맑음,양호,1등급,1800M
34,13,9,상감마마,한,거,9세,52,김정준,박병일,이관형,452,42.5,23.1,"반가지큰, 눈가면",2- 1- 1- 1- 1- 2- 7,00:13.5,00:19.1,00:31.2,01:08.5,01:16.0,01:23.4,01:42.6,01:57.6,2021년04월11일(일),맑음,양호,1등급,1800M
35,14,13,문학타이거,미,수,5세,52,박태종,박재우,황봉기,510,27,12.8,"반가지큰, 눈가면",10- 10- 11- 11- 13- 13- 14,00:14.2,00:20.1,00:32.7,01:09.7,01:17.4,01:24.7,01:43.9,01:57.8,2021년04월11일(일),맑음,양호,1등급,1800M
36,1,3,그레이트한센,한,암,3세,55,이철경,조현수,이혜란,427,23.3,2.4,망사,1-   -   - 1- 1- 1- 1,00:13.4,  ,  ,00:24.6,00:37.1,00:43.5,  ,01:16.4,2021년04월10일(토),맑음,양호,국6등급,1200M
37,2,9,엘리트파워,한,암,3세,55,조한별,유재길,태희종합건설,441,12.4,1.4,"가지, 망사눈",5-   -   - 6- 5- 5- 3,00:13.5,  ,  ,00:25.0,00:37.4,00:43.7,  ,01:16.7,2021년04월10일(토),맑음,양호,국6등급,1200M
38,3,1,레전드스타,한,암,3세,55,장추열,정호익,양순희,425,1.4,1.4,망사눈,3-   -   - 3- 3- 3- 2,00:13.5,  ,  ,00:24.8,00:37.4,00:43.7,  ,01:16.7,2021년04월10일(토),맑음,양호,국6등급,1200M
39,4,8,러브아치,한,암,3세,55,이혁,손영표,조창석,454,5,1.5,눈가면,10-   -   - 8- 9- 7- 5,00:13.8,  ,  ,00:25.4,00:38.0,00:44.1,  ,01:17.2,2021년04월10일(토),맑음,양호,국6등급,1200M
40,5,6,봄꽃,한,암,3세,55,조상범,최용건,박성구,482,14,4.2,계란형큰,11-   -   - 11- 11- 11- 7,00:14.2,  ,  ,00:25.6,00:38.3,00:44.6,  ,01:17.4,2021년04월10일(토),맑음,양호,국6등급,1200M
41,6,7,주말의시작,한,암,3세,55,우에다,박윤규,김광영,462,45.3,3.6,,8-   -   - 7- 8- 8- 8,00:13.7,  ,  ,00:25.1,00:37.9,00:44.1,  ,01:17.7,2021년04월10일(토),맑음,양호,국6등급,1200M
42,7,5,갑오사랑해,한,암,4세,55,부민호,김동철,김평갑,446,28.5,2.4,,4-   -   - 5- 6- 6- 6,00:13.5,  ,  ,00:24.8,00:37.4,00:43.8,  ,01:17.7,2021년04월10일(토),맑음,양호,국6등급,1200M
43,8,10,원더풀리버,한,암,3세,55,박현우,배휴준,지경미,479,37.3,31,망사눈,6-   -   - 9- 10- 9- 9,00:13.6,  ,  ,00:25.4,00:38.0,00:44.1,  ,01:18.2,2021년04월10일(토),맑음,양호,국6등급,1200M
44,9,4,월드메니피,한,암,3세,55,이용호,서인석,이성님,445,198.6,9.2,계란형큰,2-   -   - 2- 2- 2- 4,00:13.4,  ,  ,00:24.7,00:37.2,00:43.5,  ,01:18.5,2021년04월10일(토),맑음,양호,국6등급,1200M
45,10,11,원더풀원더,한,암,3세,55,김옥성,최봉주,윤지중,453,17.3,10.9,"계란형큰, 망사눈",12-   -   - 12- 12- 12- 12,00:14.4,  ,  ,00:25.9,00:38.5,00:44.9,  ,01:18.5,2021년04월10일(토),맑음,양호,국6등급,1200M
46,11,12,강한여전사,한,암,4세,55,하정훈,신삼영,조창규,468,172.8,31.7,망사눈-,9-   -   - 10- 7- 10- 10,00:13.7,  ,  ,00:25.4,00:37.8,00:44.1,  ,01:18.6,2021년04월10일(토),맑음,양호,국6등급,1200M
47,12,2,명진캠프,한,암,3세,51,김아현,박대흥,정은섭,451,92.4,34.8,"계란형큰, 망사눈",7-   -   - 4- 4- 4- 11,00:13.7,  ,  ,00:24.8,00:37.4,00:43.7,  ,01:19.3,2021년04월10일(토),맑음,양호,국6등급,1200M
48,1,13,동진최강,한,수,3세,57,박태종,박윤규,민규동,492,1.5,1,"계란형큰+, 망사눈",11-   -   - 10- 10- 10- 6,00:14.1,  ,  ,00:25.2,00:37.7,00:44.1,01:02.9,01:15.7,2021년04월10일(토),맑음,양호,국6등급,1200M
49,2,1,피케이로드,한,암,3세,55,우에다,손영표,김태성,456,4.2,1.2,,5-   -   - 2- 2- 2- 2,00:13.8,  ,  ,00:24.6,00:36.5,00:42.8,01:02.1,01:16.3,2021년04월10일(토),맑음,양호,국6등급,1200M
50,3,3,골드케이,한,거,3세,57,장추열,박대흥,강경운,463,113.6,25,"망사,혀끈-",2-   -   - 3- 3- 3- 4,00:13.7,  ,  ,00:24.6,00:36.8,00:43.2,01:02.6,01:16.6,2021년04월10일(토),맑음,양호,국6등급,1200M
51,4,7,이무기,한,수,3세,57,함완식,이관호,황은호,456,68.5,4.6,망사눈,4-   -   - 5- 6- 6- 5,00:13.7,  ,  ,00:24.8,00:37.0,00:43.4,01:02.9,01:16.6,2021년04월10일(토),맑음,양호,국6등급,1200M
52,5,2,코리아기적,한,거,4세,57,안토니오,지용철,오종환,479,11.5,4,,7-   -   - 7- 5- 5- 3,00:13.9,  ,  ,00:25.0,00:37.0,00:43.3,01:02.6,01:16.6,2021년04월10일(토),맑음,양호,국6등급,1200M
53,6,9,초인스파크,한,수,3세,57,정정희,안병기,박남성,490,25,14.6,"계란형큰, 망사눈",10-   -   - 9- 7- 7- 7,00:14.1,  ,  ,00:25.2,00:37.3,00:43.7,01:03.2,01:17.4,2021년04월10일(토),맑음,양호,국6등급,1200M
54,7,4,런런런,한,수,3세,57,최범현,서범석,청메이칭,464,50.5,4.7,,8-   -   - 11- 12- 12- 12,00:13.9,  ,  ,00:25.9,00:38.6,00:45.2,01:04.4,01:17.5,2021년04월10일(토),맑음,양호,국6등급,1200M
55,8,8,거센돌풍,한,수,3세,57,문정균,최상식,강석대,465,12.8,2.6,망사눈,1-   -   - 1- 1- 1- 1,00:13.3,  ,  ,00:24.0,00:35.8,00:42.0,01:02.1,01:17.6,2021년04월10일(토),맑음,양호,국6등급,1200M
56,9,10,어드밴스,한,암,4세,51,김아현,최봉주,정승희,424,133.3,13.3,망사눈,6-   -   - 6- 8- 9- 9,00:13.8,  ,  ,00:24.8,00:37.3,00:43.8,01:03.8,01:17.8,2021년04월10일(토),맑음,양호,국6등급,1200M
57,10,6,라온더삭스,한,암,3세,55,이혁,박종곤,라온산업개발(주),453,29.9,5.6,망사눈,13-   -   - 13- 13- 13- 13,00:14.6,  ,  ,00:26.3,00:39.2,00:45.9,01:05.0,01:18.2,2021년04월10일(토),맑음,양호,국6등급,1200M
58,11,11,금성패션,한,암,3세,55,김옥성,김윤섭,조창규,462,172.4,40.5,망사눈,12-   -   - 12- 11- 11- 10,00:14.2,  ,  ,00:25.9,00:38.0,00:44.3,01:04.0,01:18.6,2021년04월10일(토),맑음,양호,국6등급,1200M
59,12,5,금아매저스티,한,수,5세,57,부민호,심승태,금아산업(주),524,19.4,5.3,"계란형큰, 눈가면",3-   -   - 4- 4- 4- 8,00:13.7,  ,  ,00:24.6,00:36.8,00:43.2,01:03.6,01:18.7,2021년04월10일(토),맑음,양호,국6등급,1200M
60,13,12,패밀리캡틴,한,수,3세,57,박현우,임봉춘,류재욱,443,120.5,82.4,눈가면,9-   -   - 8- 9- 8- 11,00:13.9,  ,  ,00:25.1,00:37.4,00:43.7,01:04.0,01:18.9,2021년04월10일(토),맑음,양호,국6등급,1200M
61,1,1,남산시대,한,수,3세,57,빅투아르,박병일,이기선,484,1.5,1,"계란형큰,혀끈+",3-   -   - 4- 4- 4- 2,00:13.8,  ,  ,00:31.0,00:43.6,00:50.0,  ,01:22.2,2021년04월10일(토),맑음,양호,국6등급,1300M
62,2,13,어서와,한,수,3세,57,함완식,강환민,강용식,473,13.9,2.3,"계란형큰, 망사눈",7-   -   - 3- 3- 3- 1,00:13.9,  ,  ,00:30.8,00:43.3,00:49.8,  ,01:22.3,2021년04월10일(토),맑음,양호,국6등급,1300M
63,3,12,신대로,한,수,4세,57,문정균,최용건,박정배,471,7.6,2.1,계란형큰,11-   -   - 7- 7- 6- 4,00:14.1,  ,  ,00:31.3,00:43.9,00:50.3,  ,01:23.4,2021년04월10일(토),맑음,양호,국6등급,1300M
64,4,9,걸작맨,한,거,3세,57,김동수,박윤규,박덕희,471,58.3,5.6,"계란형큰, 눈가면",13-   -   - 12- 13- 12- 7,00:14.6,  ,  ,00:32.1,00:44.8,00:51.1,  ,01:23.4,2021년04월10일(토),맑음,양호,국6등급,1300M
65,5,10,정문폭주,한,수,3세,57,하정훈,홍대유,김재영b,490,25.5,7.9,,12-   -   - 13- 11- 11- 8,00:14.4,  ,  ,00:32.2,00:44.8,00:51.1,  ,01:23.5,2021년04월10일(토),맑음,양호,국6등급,1300M
66,6,6,신데렐라,한,암,4세,55,이철경,서홍수,이본희,430,62,18,망사눈,5-   -   - 5- 5- 5- 6,00:13.8,  ,  ,00:31.0,00:43.6,00:50.0,  ,01:23.7,2021년04월10일(토),맑음,양호,국6등급,1300M
67,7,7,엠제이스톰,한,수,3세,57,송재철,김동균,박정재,505,8.1,5.2,"계란형큰, 망사눈",6-   -   - 8- 8- 9- 12,00:13.9,  ,  ,00:31.5,00:44.2,00:50.8,  ,01:23.7,2021년04월10일(토),맑음,양호,국6등급,1300M
68,8,4,특급여왕,한,암,3세,55,박태종,최봉주,말사모,450,21.1,2.8,망사눈,2-   -   - 2- 2- 1- 3,00:13.7,  ,  ,00:30.8,00:43.3,00:49.7,  ,01:24.0,2021년04월10일(토),맑음,양호,국6등급,1300M
69,9,11,청담여걸,한,암,4세,55,장추열,박대흥,삼정,481,13,1.7,"계란형큰, 혀끈",9-   -   - 10- 10- 10- 11,00:14.0,  ,  ,00:31.7,00:44.4,00:50.9,  ,01:24.1,2021년04월10일(토),맑음,양호,국6등급,1300M
70,10,3,윈디러시,한,암,4세,55,이현종,구자흥,제주축협,473,26.8,5.8,"반가지큰+, 망사눈",10-   -   - 9- 9- 8- 10,00:14.1,  ,  ,00:31.7,00:44.3,00:50.8,  ,01:24.1,2021년04월10일(토),맑음,양호,국6등급,1300M
71,11,2,매직의함성,한,수,3세,57,우에다,이관호,황의영,508,149.8,25.5,"계란형큰, 망사눈",4-   -   - 6- 6- 7- 9,00:13.8,  ,  ,00:31.3,00:43.9,00:50.4,  ,01:24.3,2021년04월10일(토),맑음,양호,국6등급,1300M
72,12,8,아이언로즈,한,암,3세,55,조상범,신삼영,김선식,478,110.8,16.4,망사눈,1-   -   - 1- 1- 2- 5,00:13.5,  ,  ,00:30.7,00:43.3,00:49.8,  ,01:24.6,2021년04월10일(토),맑음,양호,국6등급,1300M
73,13,5,다나은석세스,한,거,4세,57,정정희,박천서,이진경,465,201.3,75.2,망사눈,8-   -   - 11- 12- 13- 13,00:14.0,  ,  ,00:31.8,00:44.8,00:51.8,  ,01:26.7,2021년04월10일(토),맑음,양호,국6등급,1300M
74,1,6,그레이트칸,한,거,4세,55.5,황순도,강환민,김순건,522,7,2.1,"계란형큰, 승인편자",2-   -   - 2- 2- 2- 1,00:13.5,  ,  ,00:24.7,00:36.7,00:42.9,  ,01:15.2,2021년04월10일(토),맑음,양호,국5등급,1200M
75,2,5,가자플랜,한,암,4세,54,이혁,홍대유,김재영a,460,26.8,3.3,망사눈,1-   -   - 1- 1- 1- 2,00:13.4,  ,  ,00:24.5,00:36.5,00:42.7,  ,01:15.5,2021년04월10일(토),맑음,양호,국5등급,1200M
76,3,4,가가나,한,수,4세,55,다비드,박재우,이경호,536,8.7,4.1,,7-   -   - 8- 5- 5- 6,00:14.0,  ,  ,00:25.6,00:37.4,00:43.5,  ,01:16.0,2021년04월10일(토),맑음,양호,국5등급,1200M
77,4,9,아테나브이,한,암,5세,51,김용근,송문길,허장원,531,18.2,4.1,반가지큰,6-   -   - 5- 6- 6- 5,00:13.8,  ,  ,00:25.3,00:37.4,00:43.5,  ,01:16.0,2021년04월10일(토),맑음,양호,국5등급,1200M
78,5,7,그랜드캐슬,한,수,3세,53.5,박태종,김점오,신우철,472,8.2,2.4,,9-   -   - 9- 9- 9- 7,00:14.6,  ,  ,00:26.1,00:38.2,00:44.4,  ,01:16.1,2021년04월10일(토),맑음,양호,국5등급,1200M
79,6,2,아로마,한,수,4세,53.5,박현우,이관호,최수군,487,7.4,2.3,망사눈,4-   -   - 4- 4- 4- 4,00:13.7,  ,  ,00:25.1,00:37.2,00:43.4,  ,01:16.1,2021년04월10일(토),맑음,양호,국5등급,1200M
80,7,8,엄지여왕,한,암,6세,52,우에다,배휴준,서상주,492,65.8,22.7,"계란형큰, 눈가면",8-   -   - 7- 8- 7- 8,00:14.1,  ,  ,00:25.5,00:37.6,00:43.7,  ,01:16.5,2021년04월10일(토),맑음,양호,국5등급,1200M
81,8,1,블랙실버,한,암,4세,54,문성혁,서인석,홍상기,439,3.2,1.2,계란형큰,3-   -   - 3- 3- 3- 3,00:13.6,  ,  ,00:24.9,00:37.1,00:43.2,  ,01:16.7,2021년04월10일(토),맑음,양호,국5등급,1200M
82,9,3,엠제이베스트,한,수,3세,54.5,송재철,임봉춘,박정재,472,3.2,1.4,"계란형큰, 망사눈",5-   -   - 6- 7- 8- 9,00:13.8,  ,  ,00:25.5,00:37.6,00:43.8,  ,01:16.8,2021년04월10일(토),맑음,양호,국5등급,1200M
83,1,1,터프맨,한,수,3세,55,장추열,정호익,김광명,522,1.4,1.5,망사눈+,1-   -   - 1- 1- 1- 1,00:13.3,  ,  ,00:23.9,00:35.7,00:41.9,  ,01:14.4,2021년04월10일(토),맑음,양호,국5등급,1200M
84,2,7,나인아이,한,수,3세,54,이용호,지용철,금악목장,504,17.3,2.8,"계란형큰, 망사",6-   -   - 6- 6- 6- 5,00:13.9,  ,  ,00:24.8,00:36.6,00:43.0,  ,01:15.4,2021년04월10일(토),맑음,양호,국5등급,1200M
85,3,3,드림걸스,한,암,4세,52.5,이현종,우창구,드림커뮤니티,426,8.8,2.2,Triabit,2-   -   - 2- 2- 2- 2,00:13.3,  ,  ,00:24.0,00:36.2,00:42.5,  ,01:15.5,2021년04월10일(토),맑음,양호,국5등급,1200M
86,4,5,골든제이,한,암,5세,52.5,김정준,최영주,최명균,462,105,11.8,반가지큰,3-   -   - 4- 3- 3- 3,00:13.4,  ,  ,00:24.3,00:36.4,00:42.7,  ,01:15.9,2021년04월10일(토),맑음,양호,국5등급,1200M
87,5,2,탱크삭스,한,암,4세,54,함완식,강환민,김창식,456,10,1.3,망사,5-   -   - 5- 5- 5- 6,00:13.9,  ,  ,00:24.8,00:36.6,00:43.0,  ,01:16.1,2021년04월10일(토),맑음,양호,국5등급,1200M
88,6,6,폭스파워,한,수,3세,55.5,최범현,구자흥,말사모,472,5.4,1.1,망사,4-   -   - 3- 4- 4- 4,00:13.4,  ,  ,00:24.2,00:36.4,00:42.7,  ,01:16.1,2021년04월10일(토),맑음,양호,국5등급,1200M
89,7,9,투엠오케이,한,거,6세,53.5,우에다,최봉주,미즈타니 마사테루,459,39.1,11.4,계란형큰,7-   -   - 7- 8- 8- 7,00:13.9,  ,  ,00:25.1,00:37.0,00:43.2,  ,01:16.9,2021년04월10일(토),맑음,양호,국5등급,1200M
90,8,4,선샤인특급,한,암,5세,52,김동수,이신영,박의주,506,59.6,3.6,"계란형큰, 망사눈",9-   -   - 9- 9- 9- 8,00:14.3,  ,  ,00:25.6,00:37.5,00:43.8,  ,01:17.3,2021년04월10일(토),맑음,양호,국5등급,1200M
91,9,8,송암공주,한,암,6세,52,김옥성,김윤섭,지원철,453,63.8,6.1,망사,8-   -   - 8- 7- 7- 9,00:14.0,  ,  ,00:25.2,00:37.0,00:43.2,  ,01:18.2,2021년04월10일(토),맑음,양호,국5등급,1200M
92,1,1,티케파이어,한,수,4세,54,이현종,최영주,손병현,499,17.3,1.5,망사눈,9- 9- 11- 10- 9- 9- 4,00:15.2,00:15.2,00:28.3,01:05.4,01:13.1,01:20.8,  ,01:53.3,2021년04월10일(토),맑음,양호,국5등급,1700M
93,2,12,러피언파크,한,거,4세,52,이혁,김동철,박종율,470,155.9,20.3,"망사눈, 혀끈",5- 5- 4- 4- 4- 4- 2,00:14.6,00:14.6,00:27.2,01:04.6,01:12.4,01:20.1,  ,01:53.5,2021년04월10일(토),맑음,양호,국5등급,1700M
94,3,11,스타블레이드,한,수,3세,55.5,안토니오,토니,김형란,488,2.3,1.3,"계란형큰+, 망사눈,혀끈+",1- 1- 1- 3- 3- 3- 3,00:14.1,00:14.1,00:26.9,01:04.4,01:12.2,01:19.8,  ,01:53.6,2021년04월10일(토),맑음,양호,국5등급,1700M
95,4,8,디에코,한,암,4세,52,이준철,김대근,안희철,473,26,5.2,,2- 2- 2- 2- 2- 2- 1,00:14.4,00:14.4,00:27.0,01:04.3,01:12.1,01:19.6,  ,01:53.7,2021년04월10일(토),맑음,양호,국5등급,1700M
96,5,3,블랙참,한,수,3세,55,김용근,송문길,김세민,475,1.9,1.1,,4- 4- 5- 5- 5- 5- 5,00:14.6,00:14.6,00:27.7,01:04.8,01:12.6,01:20.3,  ,01:53.9,2021년04월10일(토),맑음,양호,국5등급,1700M
97,6,7,일보등천,한,수,4세,52,임다빈,안병기,김기종,520,22.1,2.4,"계란형큰, 망사눈",10- 10- 10- 11- 11- 12- 9,00:15.2,00:15.2,00:28.2,01:05.4,01:13.2,01:21.1,  ,01:53.9,2021년04월10일(토),맑음,양호,국5등급,1700M
98,7,10,마패봉,한,수,6세,56,문정균,지용철,박시용,470,227.2,7,망사눈,12- 12- 12- 12- 12- 11- 8,00:15.6,00:15.6,00:28.6,01:05.9,01:13.5,01:21.0,  ,01:54.0,2021년04월10일(토),맑음,양호,국5등급,1700M
99,8,9,대싱카누,한,암,5세,53.5,조한별,유재길,박정열,505,157,11.5,망사,11- 11- 9- 8- 7- 6- 7,00:15.3,00:15.3,00:28.2,01:05.0,01:12.9,01:20.5,  ,01:54.2,2021년04월10일(토),맑음,양호,국5등급,1700M
100,9,4,백두거포,한,거,5세,54.5,조상범,구자흥,김봉겸,474,147.3,32.7,"자극판, 계란형큰, 망사",7- 7- 6- 1- 1- 1- 6,00:14.8,00:14.8,00:27.7,01:04.0,01:11.8,01:19.5,  ,01:55.1,2021년04월10일(토),맑음,양호,국5등급,1700M
