id,순위,마번,마명,산지,성별,연령,중량,기수명,조교사명,마주명,마체중,단승,연승,장구현황,구간별순위,S-1F,1코너,2코너,3코너,G-3F,4코너,G-1F,경주기록,날짜,날씨,주로상태,등급,거리
10,11,4,걸작맨,한,거,2세,55,다비드,박윤규,박덕희,476,9.6,6.4,"계란형큰+, 눈가면",8-   -   - 7- 6- 6- 12,00:14.1,  ,  ,00:25.3,00:37.6,00:44.0,  ,01:17.7,2020년12월19일(토),맑음,건조,국6,1200M
11,12,7,새로운군주,한,거,4세,56,부민호,심승태,최현기,450,9999.9,9999.9,망사,2-   -   - 3- 3- 4- 5,00:13.8,  ,  ,00:24.9,00:37.2,00:43.8,  ,01:17.9,2020년12월19일(토),맑음,건조,국6,1200M
12,13,3,원모어카드,한,수,2세,51,김아현,지용철,박시용,509,9999.9,6.4,계란형큰,6-   -   - 6- 8- 9- 13,00:13.9,  ,  ,00:25.1,00:37.7,00:44.3,  ,01:20.0,2020년12월19일(토),맑음,건조,국6,1200M
13,1,12,달리는빛깔,한,수,3세,57,김용근,지용철,김종식,482,9.3,9999.9,망사눈,9-   -   - 6- 6- 5- 2,00:14.1,  ,  ,00:25.5,00:37.9,00:44.2,01:02.5,01:15.6,2020년12월19일(토),맑음,건조,국5,1200M
14,2,10,산뜻한스침,한,암,3세,54,임기원,안병기,우태율,486,4.3,9999.9,"계란형큰, 망사눈",6-   -   - 7- 7- 7- 6,00:14.0,  ,  ,00:25.6,00:38.1,00:44.5,01:02.8,01:15.9,2020년12월19일(토),맑음,건조,국5,1200M
15,3,8,포트스원,한,암,2세,52,문성혁,서인석,조창규,495,56,9999.9,눈가면,1-   -   - 1- 1- 1- 1,00:13.7,  ,  ,00:24.8,00:37.3,00:43.6,01:02.3,01:16.0,2020년12월19일(토),맑음,건조,국5,1200M
16,4,11,회복,한,수,3세,56,김덕현,박재우,이종천,505,1.1,9999.9,망사,4-   -   - 3- 4- 4- 3,00:13.9,  ,  ,00:25.2,00:37.6,00:43.9,01:02.6,01:16.0,2020년12월19일(토),맑음,건조,국5,1200M
17,5,4,더비스트,한,수,3세,56,조상범,박병일,한명로,472,9999.9,9999.9,,7-   -   - 8- 8- 8- 8,00:14.1,  ,  ,00:25.8,00:38.2,00:44.6,01:03.2,01:16.1,2020년12월19일(토),맑음,건조,국5,1200M
18,6,5,록라인,한,수,3세,57,함완식,최영주,소태영,499,9999.9,9999.9,망사눈,5-   -   - 4- 3- 3- 5,00:14.0,  ,  ,00:25.3,00:37.6,00:43.9,01:02.7,01:16.3,2020년12월19일(토),맑음,건조,국5,1200M
19,7,14,트루팀버,한,암,6세,54,하정훈,토니,(주)녹원목장,468,9999.9,9999.9,"계란형큰,눈가면+,망사눈-",12-   -   - 11- 11- 10- 9,00:14.6,  ,  ,00:26.3,00:38.9,00:45.0,01:03.7,01:16.4,2020년12월19일(토),맑음,건조,국5,1200M
20,8,6,멋진승부,한,수,3세,56,문세영,김윤섭,이종욱,496,9999.9,9999.9,"계란형큰+,눈가면+,망사눈-",8-   -   - 10- 10- 11- 10,00:14.1,  ,  ,00:26.1,00:38.8,00:45.1,01:03.8,01:16.5,2020년12월19일(토),맑음,건조,국5,1200M
21,9,2,글로리번,한,암,5세,51,임다빈,정호익,정범성,455,9999.9,9999.9,망사,3-   -   - 5- 5- 6- 7,00:13.9,  ,  ,00:25.5,00:37.9,00:44.3,01:03.0,01:16.6,2020년12월19일(토),맑음,건조,국5,1200M
22,10,1,흥깨비,한,암,4세,53,지하주,최상식,임동현,494,9999.9,9999.9,혀끈-,2-   -   - 2- 2- 2- 4,00:13.8,  ,  ,00:25.1,00:37.4,00:43.7,01:02.7,01:16.8,2020년12월19일(토),맑음,건조,국5,1200M
23,11,9,금아인빈서블,한,수,4세,56,이철경,우창구,금아산업(주),506,9999.9,9999.9,망사눈,13-   -   - 13- 13- 13- 12,00:14.9,  ,  ,00:26.8,00:39.3,00:45.4,01:04.0,01:17.1,2020년12월19일(토),맑음,건조,국5,1200M
24,12,7,이비사걸,한,암,3세,54,이동국,리카디,공이공팔,439,9999.9,9999.9,망사눈,10-   -   - 12- 12- 12- 13,00:14.2,  ,  ,00:26.4,00:39.1,00:45.4,01:04.3,01:17.8,2020년12월19일(토),맑음,건조,국5,1200M
25,13,13,갓오브삭스,한,수,4세,56,안효리,강환민,김창식,479,9999.9,9999.9,"계란형큰, 망사눈",11-   -   - 9- 9- 9- 11,00:14.2,  ,  ,00:26.0,00:38.5,00:44.8,01:04.0,01:17.9,2020년12월19일(토),맑음,건조,국5,1200M
26,14,3,라피도볼트,한,거,3세,55,방춘식,송문길,허장원,531,9999.9,9999.9,망사,14-   -   - 14- 14- 14- 14,00:15.1,  ,  ,00:27.2,00:39.5,00:45.7,01:04.7,01:18.4,2020년12월19일(토),맑음,건조,국5,1200M
27,1,3,라온더파이터,한,수,2세,55,이혁,박종곤,라온산업개발(주),463,1.5,1,망사눈,1-   -   - 1- 1- 1- 1,00:13.5,  ,  ,00:24.4,00:35.8,00:41.6,00:59.8,01:13.6,2020년11월14일(토),맑음,건조,국6,1200M
28,2,12,파크윈,한,수,3세,56,이동진,이희영,드림조합,477,43,3.6,망사,7-   -   - 6- 6- 6- 4,00:14.0,  ,  ,00:25.3,00:37.5,00:43.6,01:01.9,01:15.2,2020년11월14일(토),맑음,건조,국6,1200M
29,3,6,하이하이,한,수,2세,51,임다빈,정호익,김경민,521,2.9,1.4,"계란형큰+,망사눈+",2-   -   - 2- 2- 2- 2,00:13.7,  ,  ,00:24.4,00:35.9,00:41.9,01:01.0,01:15.3,2020년11월14일(토),맑음,건조,국6,1200M
30,4,5,폴카,한,암,3세,54,조한별,조현수,정광화,423,243.3,48.3,"계란형큰, 망사눈",5-   -   - 5- 5- 3- 3,00:14.0,  ,  ,00:25.0,00:37.0,00:43.0,01:01.9,01:15.5,2020년11월14일(토),맑음,건조,국6,1200M
31,5,4,원더풀조이,한,거,2세,55,신형철,안병기,김기종,467,112,5.4,"계란형큰, 망사눈",11-   -   - 12- 10- 11- 9,00:14.8,  ,  ,00:26.3,00:38.5,00:44.8,01:03.2,01:16.0,2020년11월14일(토),맑음,건조,국6,1200M
32,6,1,갑오사랑해,한,암,3세,54,우에다,김동철,김평갑,432,11.3,2,,10-   -   - 9- 8- 8- 7,00:14.2,  ,  ,00:25.8,00:38.1,00:44.2,01:02.8,01:16.0,2020년11월14일(토),맑음,건조,국6,1200M
33,7,9,매드블레이드,한,거,2세,55,안토니오,강환민,김형란,446,14.8,2.1,망사,3-   -   - 3- 3- 4- 5,00:13.7,  ,  ,00:24.8,00:36.9,00:43.0,01:02.2,01:16.1,2020년11월14일(토),맑음,건조,국6,1200M
34,8,2,제니퀸,한,암,3세,54,김효정,박희철,선우패션,476,254.5,34.6,눈가면,4-   -   - 4- 4- 5- 6,00:14.0,  ,  ,00:25.0,00:37.0,00:43.1,01:02.6,01:16.6,2020년11월14일(토),맑음,건조,국6,1200M
35,9,10,어플리트마린,한,암,3세,54,빅투아르,홍대유,이경희,457,146.1,12.6,,9-   -   - 8- 7- 7- 8,00:14.1,  ,  ,00:25.6,00:38.0,00:44.1,01:02.8,01:16.6,2020년11월14일(토),맑음,건조,국6,1200M
36,10,11,레이디대로,한,암,3세,54,김정준,심승태,김은갑,443,183.5,20.1,,12-   -   - 11- 11- 10- 10,00:14.8,  ,  ,00:26.2,00:38.5,00:44.7,01:03.5,01:17.2,2020년11월14일(토),맑음,건조,국6,1200M
37,11,8,막판찬스,한,암,3세,54,이강서,유재길,김수경,466,295.3,50.6,,6-   -   - 7- 9- 9- 11,00:14.0,  ,  ,00:25.5,00:38.1,00:44.3,01:03.7,01:17.7,2020년11월14일(토),맑음,건조,국6,1200M
38,12,7,로열블레이드,한,거,4세,56,김동수,임채덕,김형란,497,56.6,2.8,"계란형큰, 망사눈",8-   -   - 10- 12- 12- 12,00:14.1,  ,  ,00:25.9,00:39.0,00:46.0,01:07.3,01:22.9,2020년11월14일(토),맑음,건조,국6,1200M
39,1,9,퍼펙트파워,한,거,3세,56,신형철,최상식,지성한,499,5.4,1.4,"망사눈, 혀끈",1-   -   - 1- 1- 1- 1,00:13.5,  ,  ,00:30.6,00:42.6,00:48.9,01:07.6,01:21.4,2020년11월14일(토),맑음,건조,국6,1300M
40,2,5,플라잉스티드,한,수,2세,55,최범현,서범석,청메이칭,501,1.8,1.2,망사,11-   -   - 9- 7- 4- 3,00:14.7,  ,  ,00:31.8,00:44.0,00:50.2,01:08.8,01:22.3,2020년11월14일(토),맑음,건조,국6,1300M
41,3,2,드림패션,한,수,3세,56,우에다,박병일,드림커뮤니티,473,8.5,1.9,,3-   -   - 7- 6- 6- 5,00:13.8,  ,  ,00:31.6,00:44.0,00:50.4,01:09.2,01:22.4,2020년11월14일(토),맑음,건조,국6,1300M
42,4,6,이터널메모리,한,거,3세,56,김덕현,박재우,오종택,474,12,2.8,망사,4-   -   - 4- 5- 7- 6,00:13.8,  ,  ,00:31.3,00:44.0,00:50.5,01:09.6,01:22.5,2020년11월14일(토),맑음,건조,국6,1300M
43,5,12,그린볼트,한,암,3세,54,김정준,홍대유,김재영b,495,62.7,3.9,"망사눈,자극판-,D형구리-",8-   -   - 6- 3- 3- 4,00:14.1,  ,  ,00:31.5,00:43.7,00:49.9,01:09.0,01:22.8,2020년11월14일(토),맑음,건조,국6,1300M
44,6,8,매드디바,한,암,3세,54,지하주,박천서,한명로,474,39.9,4.2,"반가지큰, 망사눈, 혀끈",10-   -   - 12- 12- 12- 12,00:14.5,  ,  ,00:32.7,00:45.6,00:52.0,01:10.8,01:23.8,2020년11월14일(토),맑음,건조,국6,1300M
45,7,7,엘리트어게인,한,암,3세,54,방춘식,유재길,오왕근,479,129.2,9.4,망사,12-   -   - 11- 11- 11- 10,00:14.8,  ,  ,00:32.7,00:45.4,00:51.9,01:10.7,01:23.8,2020년11월14일(토),맑음,건조,국6,1300M
46,8,11,튼트나,한,수,3세,52,임다빈,정호익,홍평우,494,41.8,19.7,망사눈,6-   -   - 2- 2- 2- 2,00:13.8,  ,  ,00:30.7,00:42.7,00:49.0,01:08.8,01:23.9,2020년11월14일(토),맑음,건조,국6,1300M
47,9,1,파이널에이스,한,암,3세,54,이혁,조현수,김선식,477,4.8,2.1,"계란형큰, 망사눈",2-   -   - 5- 8- 8- 7,00:13.6,  ,  ,00:31.5,00:44.3,00:50.9,01:10.2,01:24.2,2020년11월14일(토),맑음,건조,국6,1300M
48,10,4,호크의영광,한,거,4세,56,하정훈,최봉주,코리아호스랜드,473,250.8,41.6,계란형큰,7-   -   - 8- 9- 9- 8,00:14.0,  ,  ,00:31.8,00:44.4,00:50.9,01:10.2,01:24.5,2020년11월14일(토),맑음,건조,국6,1300M
49,11,3,선샤인레이디,한,암,4세,54,김동수,조현수,신윤경,454,196.3,7.6,"계란형큰, 망사",9-   -   - 10- 10- 10- 11,00:14.3,  ,  ,00:32.3,00:45.1,00:51.7,01:10.8,01:25.0,2020년11월14일(토),맑음,건조,국6,1300M
50,12,10,그랜드마스터,한,암,3세,54,조한별,김윤섭,변갑한,481,394.4,19.2,망사눈,5-   -   - 3- 4- 5- 9,00:13.8,  ,  ,00:31.0,00:43.8,00:50.3,01:10.7,01:25.7,2020년11월14일(토),맑음,건조,국6,1300M
51,1,5,록뉴스,한,거,3세,52,임다빈,정호익,최종환,521,3.1,1.4,망사눈,9-   -   - 8- 7- 7- 5,00:13.9,  ,  ,00:30.8,00:43.0,00:49.4,01:08.4,01:21.0,2020년11월14일(토),맑음,건조,국6,1300M
52,2,11,안양호랑이,한,암,3세,54,이혁,홍대유,(주)에이에프피,452,19.5,2.8,계란형큰,4-   -   - 3- 3- 3- 3,00:13.4,  ,  ,00:29.9,00:42.3,00:48.7,01:07.8,01:21.3,2020년11월14일(토),맑음,건조,국6,1300M
53,3,8,로드로즈,한,암,3세,54,김덕현,구자흥,표종순,495,62.8,15.4,망사,2-   -   - 2- 2- 2- 2,00:13.3,  ,  ,00:29.6,00:42.0,00:48.4,01:07.5,01:21.4,2020년11월14일(토),맑음,건조,국6,1300M
54,4,1,해찬,한,수,3세,56,문세영,안병기,박남성,527,1.6,1.1,"계란형큰, 망사",1-   -   - 1- 1- 1- 1,00:13.3,  ,  ,00:29.5,00:41.6,00:48.0,01:07.5,01:21.6,2020년11월14일(토),맑음,건조,국6,1300M
55,5,6,천총,한,수,3세,56,하정훈,최봉주,조금제,462,10.7,1.7,망사눈,6-   -   - 5- 4- 4- 4,00:13.6,  ,  ,00:30.4,00:42.5,00:48.7,01:07.9,01:21.6,2020년11월14일(토),맑음,건조,국6,1300M
56,6,10,사우스반,한,암,4세,54,이동국,서범석,임종근,449,49.3,12.4,,12-   -   - 12- 12- 11- 8,00:14.4,  ,  ,00:31.7,00:44.0,00:50.2,01:09.3,01:22.4,2020년11월14일(토),맑음,건조,국6,1300M
57,7,3,레이디럭키,한,암,3세,54,최범현,곽영효,이월희,452,29.9,3.2,,3-   -   - 4- 5- 5- 6,00:13.4,  ,  ,00:30.3,00:42.6,00:49.1,01:08.9,01:23.4,2020년11월14일(토),맑음,건조,국6,1300M
58,8,2,시크릿걸,한,암,3세,54,조한별,박윤규,김영선,454,354.5,15.8,"계란형큰, 눈가면",5-   -   - 6- 8- 8- 11,00:13.5,  ,  ,00:30.5,00:43.3,00:49.9,01:09.8,01:23.5,2020년11월14일(토),맑음,건조,국6,1300M
59,9,9,청담여걸,한,암,3세,54,안토니오,박대흥,삼정,496,10.8,2.1,"계란형큰, 망사눈, 혀끈",11-   -   - 11- 10- 10- 9,00:14.3,  ,  ,00:31.4,00:43.5,00:50.0,01:09.4,01:23.6,2020년11월14일(토),맑음,건조,국6,1300M
60,10,7,헤리티지,한,수,3세,56,권석원,신삼영,이혜란,492,542.4,27.8,망사,10-   -   - 10- 9- 9- 10,00:14.0,  ,  ,00:31.4,00:43.5,00:50.0,01:09.5,01:23.8,2020년11월14일(토),맑음,건조,국6,1300M
61,11,12,패밀리호프,한,암,4세,54,다비드,손영표,김은갑,470,657.1,25.8,망사눈,7-   -   - 7- 6- 6- 7,00:13.6,  ,  ,00:30.5,00:42.8,00:49.2,01:09.2,01:24.1,2020년11월14일(토),맑음,건조,국6,1300M
62,12,4,슈퍼파크,한,암,3세,54,김용근,배휴준,이성재,457,449,15.3,"계란형큰, 망사",8-   -   - 9- 11- 12- 12,00:13.8,  ,  ,00:31.4,00:43.8,00:50.3,01:10.7,01:24.2,2020년11월14일(토),맑음,건조,국6,1300M
63,1,9,백산선더,한,암,3세,54,이현종,리카디,이용식,451,3.8,1.5,"계란형큰,망사+",1-   -   - 2- 1- 1- 1,00:13.3,  ,  ,00:29.6,00:41.7,00:48.0,  ,01:20.8,2020년11월14일(토),맑음,건조,국5,1300M
64,2,11,킹에이스,한,수,3세,56,문세영,전승규,박철근,511,1.5,1.1,"승인편자, 혀끈, Triabit, 눈가면",6-   -   - 3- 3- 2- 2,00:13.5,  ,  ,00:29.8,00:41.8,00:48.1,  ,01:21.2,2020년11월14일(토),맑음,건조,국5,1300M
65,3,8,골드필드,한,암,4세,53.5,박병윤,조현수,윤영기,450,458.8,20.7,"계란형큰, 망사",9-   -   - 10- 10- 10- 5,00:14.0,  ,  ,00:31.1,00:43.2,00:49.4,  ,01:21.6,2020년11월14일(토),맑음,건조,국5,1300M
66,4,2,해피하와이,한,암,4세,52,조한별,박윤규,오종환,491,647.3,32,"망사, 반가지큰",3-   -   - 5- 4- 4- 3,00:13.4,  ,  ,00:30.1,00:42.2,00:48.6,  ,01:21.7,2020년11월14일(토),맑음,건조,국5,1300M
67,5,6,월드비욘드,한,암,3세,55,신형철,최영주,손병현,475,113.3,8.9,망사눈,10-   -   - 9- 8- 8- 4,00:14.2,  ,  ,00:30.8,00:42.7,00:48.9,  ,01:21.8,2020년11월14일(토),맑음,건조,국5,1300M
68,6,10,다행이다,한,수,3세,52.5,이동진,안병기,우태율,492,160.6,11.1,"망사눈+,눈가면-",8-   -   - 7- 7- 7- 7,00:13.7,  ,  ,00:30.4,00:42.6,00:48.9,  ,01:21.9,2020년11월14일(토),맑음,건조,국5,1300M
69,7,1,아테나브이,한,암,4세,53,송재철,송문길,허장원,530,17.2,2.3,"반가지큰+,계란형큰-",2-   -   - 4- 5- 5- 6,00:13.4,  ,  ,00:30.1,00:42.3,00:48.7,  ,01:22.1,2020년11월14일(토),맑음,건조,국5,1300M
70,8,3,백두와한라,한,암,3세,53.5,김용근,박병일,이관형,440,10.5,2.5,"계란형큰, 눈가면",4-   -   - 1- 2- 3- 8,00:13.4,  ,  ,00:29.6,00:41.8,00:48.2,  ,01:22.8,2020년11월14일(토),맑음,건조,국5,1300M
71,9,5,초강국,한,암,3세,51.5,문성혁,홍대유,김종철,482,39,4.2,망사눈,11-   -   - 11- 11- 11- 11,00:14.8,  ,  ,00:32.0,00:44.2,00:50.6,  ,01:23.0,2020년11월14일(토),맑음,건조,국5,1300M
72,10,4,아토,미,거,4세,57,박현우,곽영효,최임규,457,253,24.9,망사눈,7-   -   - 8- 9- 9- 10,00:13.7,  ,  ,00:30.7,00:42.8,00:49.1,  ,01:23.7,2020년11월14일(토),맑음,건조,국5,1300M
73,11,7,해랑,한,암,4세,54,안토니오,우창구,이보원,492,21.6,3,망사눈,5-   -   - 6- 6- 6- 9,00:13.5,  ,  ,00:30.1,00:42.4,00:48.7,  ,01:24.1,2020년11월14일(토),맑음,건조,국5,1300M
74,12,12,라스트매직,한,암,4세,53.5,최범현,박종곤,이미양,439,18.4,2.3,망사눈,12-   -   - 12- 12- 12- 12,00:15.3,  ,  ,00:32.3,00:44.6,00:51.0,  ,01:24.4,2020년11월14일(토),맑음,건조,국5,1300M
75,1,10,장산탱크,미,거,3세,54,문세영,최용건,김병진,524,1.7,1.1,"계란형큰, 망사눈",3- 3- 3- 3- 2- 1- 1,00:14.3,00:14.3,00:26.5,01:02.4,01:10.1,01:17.6,01:36.8,01:50.9,2020년11월14일(토),맑음,건조,혼4,1700M
76,2,6,정문에이스,미,수,3세,54,김정준,홍대유,김재영b,492,28.8,1.9,,5- 5- 5- 4- 3- 3- 2,00:14.5,00:14.5,00:27.0,01:02.6,01:10.6,01:17.9,01:37.3,01:51.0,2020년11월14일(토),맑음,건조,혼4,1700M
77,3,4,스트롱퀸,한,암,3세,52,송재철,서홍수,곽영숙,513,3.4,1.6,"계란형큰, 망사",4- 4- 4- 8- 8- 6- 3,00:14.5,00:14.5,00:27.0,01:03.8,01:11.6,01:19.0,01:37.9,01:51.7,2020년11월14일(토),맑음,건조,혼4,1700M
78,4,9,한센바로우즈,한,수,5세,54,우에다,서인석,이노쿠마 히로츠구,481,10.3,2.3,양털코,7- 7- 6- 5- 5- 4- 5,00:14.8,00:14.8,00:27.5,01:03.0,01:10.8,01:18.4,01:38.8,01:53.2,2020년11월14일(토),맑음,건조,혼4,1700M
79,5,12,판타스틱콤비,미,거,5세,57,박현우,박천서,한영석,466,15.2,4,혀끈,11- 11- 11- 9- 9- 9- 6,00:15.9,00:15.9,00:29.0,01:04.5,01:12.1,01:19.5,01:39.4,01:53.5,2020년11월14일(토),맑음,건조,혼4,1700M
80,6,5,금성여왕,미,암,5세,51,임다빈,손영표,조창규,490,11,2.9,망사눈,2- 2- 2- 1- 1- 2- 4,00:14.1,00:14.1,00:25.9,01:01.8,01:10.0,01:17.7,01:38.4,01:53.6,2020년11월14일(토),맑음,건조,혼4,1700M
81,7,7,애비보컬스,아일,수,4세,54,이철경,구자흥,피엔에스홈즈,473,55.5,7.2,"망사, 반가지큰",6- 6- 8- 7- 7- 7- 8,00:14.5,00:14.5,00:27.6,01:03.5,01:11.5,01:19.1,01:40.0,01:55.2,2020년11월14일(토),맑음,건조,혼4,1700M
82,8,11,캡틴포스원,미,수,3세,51,김아현,지용철,서정범,460,271.7,19.2,"망사눈, Triabit",9- 9- 9- 10- 10- 10- 10,00:15.3,00:15.3,00:28.3,01:04.6,01:12.6,01:20.3,01:41.0,01:55.3,2020년11월14일(토),맑음,건조,혼4,1700M
83,9,8,모닝타이거,호,거,4세,54,장추열,조현수,지앤지프로덕션,542,51.5,6.2,"계란형큰, 망사눈, 승인편자",8- 8- 7- 6- 6- 8- 7,00:15.0,00:15.0,00:27.6,01:03.3,01:11.3,01:19.1,01:39.6,01:55.5,2020년11월14일(토),맑음,건조,혼4,1700M
84,10,1,그린와트,미,암,3세,52,하정훈,홍대유,김재영b,496,104.4,8.6,망사눈,1- 1- 1- 2- 4- 5- 9,00:14.1,00:14.1,00:25.8,01:02.3,01:10.8,01:18.8,01:40.9,01:56.7,2020년11월14일(토),맑음,건조,혼4,1700M
85,11,3,메인이벤트,한,수,5세,54,김효정,배대선,박웅진,476,56.7,6.6,망사,10- 10- 10- 11- 11- 11- 11,00:15.5,00:15.5,00:28.9,01:05.3,01:13.3,01:21.2,01:42.1,01:58.1,2020년11월14일(토),맑음,건조,혼4,1700M
86,1,5,럭키재산,한,암,2세,52.5,임기원,박재우,최기영,453,1.3,1.2,,3-   -   - 4- 2- 2- 1,00:13.4,  ,  ,00:24.3,00:36.0,00:42.2,01:00.8,01:14.1,2020년11월14일(토),맑음,건조,국5,1200M
87,2,1,달리는빛깔,한,수,3세,54,김용근,지용철,김종식,472,12.3,2.4,망사눈,8-   -   - 6- 7- 6- 3,00:13.8,  ,  ,00:24.7,00:37.0,00:43.0,01:01.4,01:14.4,2020년11월14일(토),맑음,건조,국5,1200M
88,3,11,럭키클럽,한,수,2세,53.5,이혁,서홍수,이본희,440,7.3,1.7,,7-   -   - 9- 8- 8- 5,00:13.7,  ,  ,00:24.7,00:37.0,00:43.1,01:01.5,01:14.6,2020년11월14일(토),맑음,건조,국5,1200M
89,4,6,천향국색,한,암,3세,53,빅투아르,구자흥,김창만,473,109.4,11.2,"계란형큰+, 망사",6-   -   - 5- 5- 5- 6,00:13.7,  ,  ,00:24.4,00:36.5,00:42.7,01:01.6,01:15.0,2020년11월14일(토),맑음,건조,국5,1200M
90,5,7,서울크라운,한,수,3세,55,안토니오,이관호,김진엽,501,9.7,1.9,"계란형큰, 망사눈",4-   -   - 3- 4- 4- 4,00:13.4,  ,  ,00:24.2,00:36.1,00:42.3,01:01.5,01:15.0,2020년11월14일(토),맑음,건조,국5,1200M
91,6,3,안목항,한,암,4세,55.5,권석원,리카디,홍종철,472,22.3,5.5,"계란형큰, 망사",1-   -   - 1- 1- 1- 2,00:13.3,  ,  ,00:24.0,00:35.8,00:42.0,01:01.3,01:15.2,2020년11월14일(토),맑음,건조,국5,1200M
92,7,10,베스트군단,한,거,3세,54.5,김덕현,박재우,박정재,479,29.6,5.1,망사눈,11-   -   - 10- 9- 9- 8,00:13.9,  ,  ,00:25.0,00:37.2,00:43.3,01:02.1,01:15.3,2020년11월14일(토),맑음,건조,국5,1200M
93,8,12,메니스탠드,한,암,4세,53.5,장추열,김동균,이근우,468,109.1,9.1,망사눈,12-   -   - 12- 12- 12- 11,00:14.3,  ,  ,00:25.8,00:38.0,00:44.2,01:02.8,01:15.9,2020년11월14일(토),맑음,건조,국5,1200M
94,9,9,야호엠제이캣,한,암,4세,52,김동수,조현수,이태식,437,531.4,64.1,"계란형큰, 망사눈",10-   -   - 11- 11- 10- 10,00:13.9,  ,  ,00:25.1,00:37.5,00:43.6,01:02.6,01:15.9,2020년11월14일(토),맑음,건조,국5,1200M
95,10,2,미라클호프,한,수,4세,52,임다빈,우창구,변갑한,474,147.6,6,"망사, Triabit",9-   -   - 7- 6- 7- 9,00:13.8,  ,  ,00:24.7,00:36.9,00:43.1,01:02.2,01:16.3,2020년11월14일(토),맑음,건조,국5,1200M
96,11,8,배다리캔디,한,암,2세,52,이현종,홍대유,송한우,463,35.2,4.1,,5-   -   - 8- 10- 11- 12,00:13.6,  ,  ,00:24.7,00:37.3,00:43.7,01:02.9,01:16.4,2020년11월14일(토),맑음,건조,국5,1200M
97,12,4,소서노레전드,한,암,3세,53,송재철,송문길,(주)나스카,458,34.4,2.4,망사,2-   -   - 2- 3- 3- 7,00:13.3,  ,  ,00:24.1,00:36.0,00:42.2,01:02.1,01:17.2,2020년11월14일(토),맑음,건조,국5,1200M
98,1,10,컴플리트캡틴,한,수,3세,57.5,임기원,박재우,장석영,523,2.7,1.1,눈가면,1-   -   - 1- 1- 1- 1,00:13.3,  ,  ,00:24.5,00:36.3,00:42.5,01:00.8,01:14.0,2020년11월14일(토),맑음,건조,국4,1200M
99,2,4,초인강자,한,수,3세,55,장추열,안병기,박남성,483,2.1,1.6,"계란형큰, 망사눈",6-   -   - 4- 4- 3- 2,00:13.8,  ,  ,00:24.8,00:36.8,00:42.8,01:00.9,01:14.2,2020년11월14일(토),맑음,건조,국4,1200M
